1509439571.000000, 1509439571.000000, 1509439571.000000
32.000000, 32.000000, 32.000000
2,-1,62
3,3,67
1,4,67
-2,4,64
-2,12,66
-1,14,69
-3,12,63
-6,13,54
-4,15,57
-2,17,68
-3,14,66
-3,14,62
-3,13,63
-4,11,60
-4,14,60
-6,16,62
-5,14,60
-4,15,60
-5,16,63
-5,14,64
-6,9,60
-7,14,60
-7,13,60
-7,12,64
-13,7,65
-9,11,59
-14,14,57
-16,5,65
-12,-3,69
-14,1,64
-18,6,59
-23,10,64
-20,1,63
-17,7,61
-15,12,63
-31,5,60
-32,4,63
-34,-15,59
-29,2,63
-27,12,50
-28,8,56
-28,-12,57
-30,2,54
-30,5,53
-28,-1,48
-29,3,51
-31,7,54
-32,6,53
-33,-1,56
-33,2,60
-35,5,59
-36,3,56
-35,1,56
-31,3,53
-31,4,55
-32,6,55
-31,5,56
-31,4,57
-31,5,57
-32,5,56
-30,7,54
-31,6,55
-32,5,57
-33,3,59
-32,3,58
-29,3,54
-30,4,54
-32,7,57
-31,7,55
-31,7,54
-33,8,52
-34,8,51
-30,11,48
-27,5,45
-36,-8,30
-30,-14,29
-35,-21,25
-47,-33,24
-54,-40,23
-61,-51,28
-61,-58,30
-57,-66,32
-58,-53,33
-56,-45,32
-53,-33,26
-50,-31,24
-47,-26,22
-46,-23,21
-47,-24,22
-48,-28,25
-49,-30,25
-50,-33,25
-50,-35,25
-49,-38,25
-49,-37,24
-50,-36,23
-50,-35,24
-50,-34,24
-49,-34,23
-49,-33,22
-48,-35,23
-49,-35,24
-49,-35,25
-49,-34,24
-49,-35,23
-49,-36,24
-48,-37,24
-48,-34,22
-49,-34,23
-48,-36,24
-46,-40,24
-48,-37,24
-46,-37,26
-44,-39,29
-40,-44,31
-45,-52,33
-47,-55,35
-41,-57,53
-43,-59,53
-32,-60,56
-43,-36,51
-33,-21,55
-3,-24,33
-12,-14,32
-12,-10,25
-9,-3,17
-11,27,25
-32,47,35
-31,55,48
-34,51,59
-39,43,55
-26,63,47
-22,58,44
-22,47,39
-25,43,35
-25,41,39
-23,39,41
-23,41,42
-23,42,45
-23,39,48
-25,39,49
-22,41,44
-23,42,46
-19,37,45
-21,40,44
-21,39,50
-22,34,50
-20,36,48
-20,33,47
-21,33,47
-22,37,49
-20,35,49
-21,36,49
-21,40,47
-21,42,46
-21,38,45
-21,40,46
-21,43,47
-21,42,49
-21,38,48
-20,39,44
-20,39,46
-21,35,47
-21,41,47
-20,39,48
-20,37,49
-20,38,47
-20,39,47
-19,36,47
-20,37,48
-20,41,47
-20,37,49
-19,36,49
-20,38,48
-21,37,47
-20,37,47
-20,35,50
-16,28,44
-12,37,38
-21,61,35
-15,52,32
-32,60,21
-32,65,22
-30,65,24
-27,53,21
-28,57,24
-29,51,19
-26,51,21
-23,44,22
-25,48,23
-27,58,25
-25,58,24
-25,54,26
-27,55,25
-25,54,25
-25,54,25
-26,51,28
-25,51,28
-25,53,27
-25,54,28
-25,51,27
-26,50,26
-26,55,27
-26,55,28
-27,52,29
-25,52,28
-26,55,28
-27,52,28
-25,51,27
-25,54,28
-27,55,28
-24,48,29
-24,52,29
-26,50,29
-27,50,31
-25,49,30
-26,54,30
-27,52,30
-24,48,29
-26,53,30
-27,51,30
-28,46,28
-25,46,28
-25,53,29
-26,55,26
-25,55,24
-23,91,15
-19,93,17
-29,47,0
-23,14,-12
-27,-20,-39
-35,-37,-29
-82,-46,14
-80,-86,16
-71,-102,20
-62,-103,25
-60,-88,23
-56,-57,16
-54,-43,16
-55,-23,20
-52,-18,19
-49,-15,16
-43,-17,15
-42,-21,17
-44,-29,21
-46,-36,25
-49,-40,25
-51,-46,27
-52,-46,27
-50,-41,24
-49,-40,23
-48,-38,23
-47,-35,21
-47,-33,21
-47,-34,22
-47,-37,23
-46,-39,23
-46,-37,23
-48,-38,24
-48,-40,24
-47,-38,23
-48,-37,22
-48,-36,22
-46,-38,22
-46,-39,23
-46,-38,24
-48,-36,24
-48,-35,23
-46,-38,24
-45,-38,23
-46,-38,21
-47,-39,22
-46,-42,23
-46,-39,23
-46,-42,23
-44,-52,27
-47,-57,35
-44,-54,31
-47,-42,41
-46,-52,53
-44,-53,55
-39,-43,44
-32,-24,55
-25,-41,61
-13,-9,3
-1,-7,-7
6,26,42
-3,1,13
-11,20,30
-22,15,65
-25,17,98
